Player,First,Last,GP,GS,W,L,TOL,GA,SA,SV,SV_PCT,GAA,SO,MIN,G,A,PTS,PIM
Devan Dubnyk,2010,2015,226,208,96,88,25,572,6635,6063,0.914,2.69,14,12739,0,3,3,10
Jeremy Duchesne,2010,2010,1,0,0,0,0,1,4,3,0.75,3.53,0,17,0,0,0,0
Parris Duffus,1997,1997,1,,0,0,0,1,8,7,0.875,2.07,0,29,0,0,0,0
Michel Dumas,1975,1977,8,,2,1,2,24,,,,3.98,0,362,0,1,1,0
Mike Dunham,1997,2007,394,,141,178,44,989,10701,9712,0.908,2.74,19,21653,0,5,5,16
Bob Dupuis,1980,1980,1,,0,1,0,4,,,,4,0,60,0,0,0,0
Bill Durnan*,1944,1950,383,,208,112,62,901,,,,2.36,34,22945,0,1,1,7
Ed Dyck,1972,1974,49,,8,28,5,178,,,,4.35,1,2453,0,0,0,0
Don Edwards,1977,1986,459,,208,155,74,1449,3215,2783,0.866,3.32,16,26181,0,14,14,42
Gary Edwards,1969,1982,286,,88,125,51,973,,,,3.65,10,16002,0,7,7,48
Marv Edwards,1969,1974,61,,15,34,7,218,,,,3.77,2,3467,0,3,3,34
Roy Edwards,1968,1974,236,,97,88,38,637,,,,2.92,12,13109,0,2,2,6
Brian Eklund,2006,2006,1,,0,1,0,3,19,16,0.842,3.1,0,58,0,0,0,0
Darren Eliot,1985,1989,89,,25,41,12,377,2536,2159,0.851,4.59,1,4931,0,2,2,24
Ken Ellacott,1983,1983,12,,2,3,4,41,,,,4.43,0,555,0,0,0,0
Brian Elliott,2008,2015,278,251,140,90,26,620,7041,6421,0.912,2.44,30,15265,0,6,6,0
Dan Ellis,2004,2015,211,177,87,78,18,522,5551,5029,0.906,2.78,15,11247,0,6,6,6
Ray Emery,2003,2015,285,153,145,85,27,693,7380,6687,0.906,2.71,16,15364,0,4,4,79
Jhonas Enroth,2010,2015,125,110,39,61,14,343,3730,3387,0.908,2.95,4,6985,0,0,0,2
Chad Erickson,1992,1992,2,,1,1,0,9,55,46,0.836,4.5,0,120,0,0,0,0
Joacim Eriksson,2014,2014,1,0,,,,6,31,25,0.806,10,0,36,0,0,0,0
Erik Ersberg,2008,2010,53,45,18,19,10,120,1337,1217,0.91,2.55,2,2827,0,0,0,2
Robert Esche,1999,2007,186,,78,64,22,464,4616,4152,0.899,2.75,10,10139,0,8,8,65
Tony Esposito*,1969,1984,886,,423,306,151,2563,622,534,0.859,2.92,76,52585,0,25,25,31
Bob Essensa,1989,2002,446,,173,176,47,1270,12105,10835,0.895,3.15,18,24215,0,15,15,26
Claude Evans,1955,1958,5,,1,2,1,16,,,,3.69,0,260,0,0,0,0
Randy Exelby,1989,1990,2,,0,1,0,5,31,26,0.839,4.76,0,63,0,0,0,0
Scott Fankhouser,2000,2001,23,,4,12,2,65,611,546,0.894,3.31,0,1180,0,0,0,6
Rocky Farr,1973,1975,19,,2,6,3,42,,,,3.49,0,722,0,0,0,2
Viktor Fasth,2013,2015,63,59,26,26,7,161,1682,1521,0.904,2.79,4,3465,0,0,0,0
Doug Favell,1968,1979,373,,123,153,69,1096,,,,3.17,18,20771,0,8,8,152
Manny Fernandez,1995,2009,325,31,143,123,35,775,8803,8028,0.912,2.5,15,18580,0,6,6,40
Eric Fichaud,1996,2001,95,,22,47,10,251,2445,2194,0.897,3.14,2,4799,0,1,1,4
Brian Finley,2003,2007,4,,0,2,0,13,87,74,0.851,4.7,0,166,0,0,0,0
Stephane Fiset,1990,2002,390,,164,153,44,1114,11079,9965,0.899,3.07,16,21785,0,12,12,38
Mark Fitzpatrick,1989,2000,329,,113,136,49,953,9202,8249,0.896,3.12,8,18329,0,12,12,85
Wade Flaherty,1992,2003,120,,27,56,9,348,3093,2745,0.887,3.51,5,5941,0,3,3,6
Marc-Andre Fleury,2004,2015,590,437,321,186,54,1459,16478,15019,0.911,2.58,37,33882,0,13,13,48
Jake Forbes,1920,1933,210,,85,114,11,594,,,,2.76,19,12922,0,0,0,2
Brian Ford,1984,1985,11,,3,7,0,61,362,301,0.831,6.31,0,580,0,0,0,0
Anton Forsberg,2015,2015,5,5,0,4,0,20,149,129,0.866,4.69,0,256,0,0,0,0
Brian Foster,2012,2012,1,0,0,0,0,0,1,1,1,0,0,5,0,0,0,0
Norm Foster,1991,1992,13,,7,4,0,34,265,231,0.872,3.27,0,623,0,0,0,2
Mike Fountain,1997,2001,11,,2,6,0,28,234,206,0.88,3.48,1,483,0,0,0,2
Hec Fowler,1925,1925,7,,1,6,0,42,,,,6.16,0,409,0,0,0,0
Emile Francis*,1947,1952,95,,31,52,11,355,,,,3.76,1,5660,0,0,0,6
Jimmy Franks,1938,1944,42,,12,23,7,181,,,,4.31,1,2520,0,0,0,0
Jeff Frazee,2013,2013,1,0,0,0,0,0,3,3,1,0,0,19,0,0,0,0
Ray Frederick,1955,1955,5,,0,4,1,22,,,,4.4,0,300,0,0,0,0
Karl Friesen,1987,1987,4,,0,2,1,16,80,64,0.8,7.38,0,130,0,1,1,0
Bob Froese,1983,1990,242,,128,72,20,694,5738,5103,0.889,3.1,13,13451,0,10,10,90
Grant Fuhr*,1982,2000,868,,403,295,114,2756,21873,19403,0.887,3.38,25,48945,0,46,46,114
Yutaka Fukufuji,2007,2007,4,,0,3,0,7,43,36,0.837,4.37,0,96,0,0,0,0
Joaquin Gage,1995,2001,23,,4,12,1,67,515,448,0.87,3.74,0,1076,0,1,1,4
Dave Gagnon,1991,1991,2,,0,1,0,6,28,22,0.786,10.29,0,35,0,0,0,0
Bruce Gamble,1959,1972,327,,110,150,46,988,,,,3.21,22,18442,0,1,1,24
Troy Gamble,1987,1992,72,,22,29,9,229,1837,1608,0.875,3.61,1,3804,0,1,1,22
Bert Gardiner,1936,1944,144,,49,68,27,554,,,,3.79,3,8760,0,1,1,0
Charlie Gardiner*,1928,1934,316,,112,152,52,664,,,,2.02,42,19687,0,0,0,2
George Gardner,1966,1972,66,,16,30,6,207,,,,3.75,0,3313,0,0,0,0
Tyrone Garner,1999,1999,3,,0,2,0,12,74,62,0.838,5.18,0,139,0,0,0,0
Michael Garnett,2006,2006,24,,10,7,4,73,634,561,0.885,3.45,2,1271,0,2,2,0
Mathieu Garon,2001,2013,341,176,144,131,31,865,8938,8073,0.903,2.83,20,18342,0,7,7,28
John Garrett,1980,1985,207,,68,91,37,837,1001,844,0.843,4.27,1,11763,0,6,6,41
Dave Gatherum,1954,1954,3,,2,0,1,3,,,,1,1,180,0,0,0,0
Paul Gauthier,1938,1938,1,,0,0,1,2,,,,1.71,0,70,0,0,0,0
Sean Gauthier,1999,1999,1,,0,0,0,0,2,2,1,0,0,3,0,0,0,0
Jack Gelineau,1949,1954,143,,46,64,33,447,,,,3.13,7,8580,0,0,0,4
Martin Gerber,2003,2011,229,84,113,78,21,566,6349,5783,0.911,2.63,10,12920,0,7,7,30
Ed Giacomin*,1966,1978,609,,289,209,96,1672,,,,2.82,54,35633,0,9,9,66
John Gibson,2014,2015,25,22,16,7,0,59,739,680,0.92,2.42,2,1462,0,0,0,0
Jean-Sebastien Giguere,1997,2014,597,222,262,216,75,1423,16325,14902,0.913,2.53,38,33717,0,7,7,98
Gilles Gilbert,1970,1983,416,,192,143,60,1290,,,,3.27,18,23677,0,9,9,110
Andre Gill,1968,1968,5,,3,2,0,13,,,,2.89,1,270,0,0,0,0
Paul Goodman,1940,1941,52,,23,20,9,117,,,,2.17,6,3240,0,0,0,0
Scott Gordon,1990,1991,23,,2,16,0,101,593,492,0.83,5.6,0,1082,0,0,0,0
Mario Gosselin,1984,1994,241,,91,107,14,801,6228,5427,0.871,3.74,6,12857,0,9,9,42
David Goverde,1992,1994,5,,1,4,0,29,151,122,0.808,6.26,0,278,0,1,1,0
John Grahame,2000,2008,224,12,97,86,18,574,5612,5038,0.898,2.79,12,12363,0,9,9,51
Ron Grahame,1978,1981,114,,50,43,15,409,,,,3.79,5,6472,0,3,3,10
Benny Grant,1929,1944,52,,17,27,4,188,,,,3.72,4,3036,0,0,0,0
Doug Grant,1974,1980,77,,27,34,8,280,,,,4,2,4199,0,0,0,2
Gilles Gratton,1976,1977,47,,13,18,9,154,,,,4.02,0,2299,0,0,0,15
Gerry Gray,1971,1973,8,,1,5,1,35,,,,4.77,0,440,0,0,0,0
Harrison Gray,1964,1964,1,,0,1,0,5,,,,7.5,0,40,0,0,0,0
Mike Greenlay,1990,1990,2,,0,0,0,4,17,13,0.765,12,0,20,0,0,0,0
Thomas Greiss,2008,2015,88,67,36,29,11,191,2226,2035,0.914,2.45,3,4674,0,0,0,4
Troy Grosenick,2015,2015,2,2,1,1,0,3,58,55,0.948,1.53,1,118,0,0,0,0
Philipp Grubauer,2013,2015,20,16,7,6,5,42,553,511,0.924,2.44,0,1032,0,0,0,0
Kristers Gudlevskis,2014,2014,1,1,1,0,0,2,38,36,0.947,2,0,60,0,0,0,0
Steve Guenette,1987,1991,35,,19,16,0,122,1024,902,0.881,3.74,1,1958,0,1,1,4
Derek Gustafson,2001,2002,5,,1,3,0,10,104,94,0.904,2.26,0,265,0,0,0,0
Jonas Gustavsson,2010,2015,148,132,60,55,21,392,3956,3564,0.901,2.89,6,8134,0,4,4,10
Jeff Hackett,1989,2004,500,,166,244,56,1361,13873,12512,0.902,2.9,26,28125,0,9,9,62
Matt Hackett,2012,2015,26,18,4,17,2,67,709,642,0.906,3.11,0,1291,0,0,0,0
George Hainsworth*,1927,1937,465,,246,145,74,937,,,,1.93,94,29087,0,0,0,2
Jaroslav Halak,2007,2015,326,299,180,101,31,747,8994,8247,0.917,2.38,35,18793,0,4,4,10
Glenn Hall*,1953,1971,906,,407,326,163,2222,,,,2.49,84,53484,0,9,9,88
Pierre Hamel,1975,1981,69,,13,41,7,276,,,,4.4,0,3766,0,3,3,16
Andrew Hammond,2014,2015,18,14,14,1,1,31,513,482,0.94,1.85,2,1006,0,1,1,0
Glen Hanlon,1978,1991,477,,167,202,61,1561,8474,7499,0.885,3.6,13,26037,0,11,11,237
Josh Harding,2006,2014,151,117,60,59,11,327,3984,3657,0.918,2.45,10,7995,0,2,2,6
Paul Harrison,1976,1982,109,,28,59,9,408,,,,4.22,2,5806,0,1,1,28
Dominik Hasek*,1991,2008,735,40,389,223,95,1572,20220,18648,0.922,2.2,81,42837,0,19,19,170
Adam Hauser,2006,2006,1,,0,0,0,6,24,18,0.75,7.06,0,51,0,0,0,0
Brian Hayward,1983,1993,357,,143,156,37,1242,9112,7959,0.873,3.72,8,20025,0,13,13,95
Don Head,1962,1962,38,,9,26,3,158,,,,4.16,2,2280,0,0,0,14
Glenn Healy,1986,2001,437,,166,190,47,1361,12058,10697,0.887,3.37,13,24256,0,15,15,93
Guy Hebert,1992,2001,491,,191,222,56,1307,14400,13093,0.909,2.81,28,27889,0,6,6,22
Sammy Hebert,1918,1924,4,,2,1,0,19,,,,5.7,0,200,0,0,0,0
Johan Hedberg,2001,2013,373,169,161,143,36,977,9918,8941,0.901,2.82,22,20758,0,10,10,96
Cal Heeter,2014,2014,1,1,0,0,1,5,38,33,0.868,4.69,0,64,0,0,0,0
Rick Heinz,1981,1985,49,,14,19,5,159,565,482,0.853,4.05,2,2356,0,1,1,6
Riku Helenius,2009,2009,1,0,0,0,0,0,2,2,1,0,0,7,0,0,0,0
Magnus Hellberg,2014,2014,1,0,,,,1,4,3,0.75,5,0,12,0,0,0,0
John Henderson,1955,1956,46,,15,15,15,113,,,,2.52,5,2688,0,0,0,0
Gord Henry,1949,1950,3,,1,2,0,5,,,,1.67,1,180,0,0,0,0
Jim Henry,1942,1955,406,,161,173,70,1166,,,,2.87,28,24355,0,0,0,0
Denis Herron,1973,1986,462,,146,203,76,1579,2654,2332,0.879,3.7,10,25608,0,9,9,89
Ron Hextall,1987,1999,608,,296,214,69,1723,16366,14643,0.895,2.97,23,34750,1,32,33,584
Hec Highton,1944,1944,24,,10,14,0,108,,,,4.5,0,1440,0,0,0,0
Jonas Hiller,2008,2015,373,346,184,128,36,872,10405,9533,0.916,2.5,22,20952,0,8,8,2
Corey Hirsch,1993,2003,108,,34,45,14,301,2895,2594,0.896,3.13,4,5775,0,3,3,8
Milan Hnilicka,2000,2004,121,,29,67,13,359,3598,3239,0.9,3.31,5,6509,0,2,2,14
Charlie Hodge,1955,1971,358,,150,125,61,925,,,,2.7,24,20573,0,0,0,10
Kevin Hodson,1996,2003,71,,17,18,10,134,1250,1116,0.893,2.76,4,2910,0,1,1,6
Bruce Hoffort,1990,1991,9,,4,0,3,22,179,157,0.877,3.59,0,368,0,0,0,2
Paul Hoganson,1971,1971,2,,0,1,0,7,,,,7.37,0,57,0,0,0,0
Goran Hogosta,1978,1980,22,,5,12,3,83,,,,4.12,1,1208,0,0,0,0
Mark Holden,1982,1985,8,,2,2,1,25,121,102,0.843,4.03,0,372,0,1,1,0
Ken Holland,1981,1984,4,,0,2,1,17,53,43,0.811,4.95,0,206,0,0,0,0
Rob Holland,1980,1981,44,,11,22,9,171,,,,4.08,1,2513,0,0,0,2
Hap Holmes*,1918,1928,103,,39,54,10,264,,,,2.43,17,6510,0,0,0,0
Johan Holmqvist,2001,2008,99,47,48,34,9,262,2389,2127,0.89,2.99,3,5264,0,4,4,6
Chris Holt,2006,2009,2,0,0,0,0,0,5,5,1,0,0,29,0,0,0,0
Braden Holtby,2011,2015,172,160,97,50,17,396,4990,4594,0.921,2.44,19,9722,0,6,6,9
Martin Houle,2007,2007,1,,0,0,0,1,3,2,0.667,30,0,2,0,0,0,0
Jimmy Howard,2006,2015,335,321,173,99,47,782,9281,8499,0.916,2.42,20,19407,0,6,6,20
Jim Hrivnak,1990,1994,85,,34,30,3,262,2129,1867,0.877,3.73,0,4217,0,5,5,2
Kelly Hrudey,1984,1998,677,,271,265,88,2174,20328,18154,0.893,3.43,17,38084,0,16,16,173
Cristobal Huet,2003,2010,272,137,129,90,32,625,7216,6591,0.913,2.46,24,15260,0,3,3,10
Shawn Hunwick,2012,2012,1,0,0,0,0,0,0,0,,0,0,3,0,0,0,0
Jani Hurme,2000,2003,76,,29,25,11,176,1867,1691,0.906,2.61,6,4041,0,0,0,19
Michael Hutchinson,2014,2015,40,38,22,11,5,89,1049,960,0.915,2.36,2,2261,0,0,0,0
Carter Hutton,2013,2015,58,50,26,18,8,135,1460,1325,0.908,2.62,2,3095,0,1,1,2
Peter Ing,1990,1994,74,,20,37,9,266,2177,1911,0.878,4.05,1,3941,0,3,3,6
Gary Inness,1974,1981,162,,58,61,27,494,,,,3.4,2,8710,0,5,5,12
Arturs Irbe,1992,2004,568,,218,236,79,1513,15033,13520,0.899,2.83,33,32066,0,9,9,90
Randy Ireland,1979,1979,2,,0,0,0,3,,,,6,0,30,0,0,0,0
Robbie Irons,1969,1969,1,,0,0,0,0,,,,0,0,3,0,0,0,0
Joe Ironstone,1926,1928,2,,0,0,1,3,,,,1.64,1,110,0,0,0,0
Leland Irving,2012,2013,13,12,3,4,4,36,367,331,0.902,3.25,0,664,0,1,1,0
Pat Jablonski,1990,1998,128,,28,62,18,413,3411,2998,0.879,3.74,1,6634,0,4,4,13
Doug Jackson,1948,1948,6,,2,3,1,42,,,,7,0,360,0,0,0,0
Percy Jackson,1932,1936,7,,1,3,1,26,,,,3.98,0,392,0,0,0,0
Pauli Jaks,1995,1995,1,,0,0,0,2,25,23,0.92,3,0,40,0,0,0,0
Steve Janaszak,1980,1982,3,,0,1,1,15,,,,5.63,0,160,0,0,0,0
Bob Janecyk,1984,1989,110,,43,47,13,432,3259,2827,0.867,4.15,2,6250,0,4,4,44
Al Jensen,1981,1987,179,,95,53,18,557,2796,2462,0.881,3.35,8,9974,0,4,4,44
Darren Jensen,1985,1986,30,,15,10,1,95,786,691,0.879,3.81,2,1496,0,1,1,2
Bob Johnson,1973,1975,24,,9,9,1,66,,,,3.74,0,1059,0,0,0,23
Brent Johnson,1999,2012,309,85,140,112,31,744,7717,6973,0.904,2.63,14,16978,0,10,10,52
Chad Johnson,2010,2015,56,48,28,14,7,125,1450,1325,0.914,2.41,3,3112,0,1,1,0
Eddie Johnston,1963,1978,592,,234,257,80,1852,,,,3.25,32,34216,0,10,10,26
Martin Jones,2014,2015,33,28,16,10,2,59,786,727,0.925,1.95,7,1812,0,1,1,0
Curtis Joseph,1990,2009,943,16,454,352,96,2516,26795,24279,0.906,2.79,51,54054,0,31,31,126
Joe Junkin,1969,1969,1,,0,0,0,0,,,,0,0,8,0,0,0,0
Jari Kaarela,1981,1981,5,,2,2,0,22,,,,6,0,220,0,0,0,2
Hannu Kamppuri,1985,1985,13,,1,10,1,54,351,297,0.846,5.02,0,645,0,1,1,2
Mike Karakas,1936,1946,336,,114,169,53,1002,,,,2.92,28,20614,0,1,1,9
Henrik Karlsson,2011,2012,26,18,5,9,8,60,630,570,0.905,2.79,0,1292,0,0,0,0
Doug Keans,1980,1988,210,,96,64,26,666,3902,3423,0.877,3.51,4,11388,0,6,6,53
Don Keenan,1959,1959,1,,0,1,0,4,,,,4,0,60,0,0,0,0
Matt Keetley,2008,2008,1,0,0,0,0,0,2,2,1,0,0,9,0,0,0,0
Dave Kerr,1931,1941,427,,203,148,75,954,,,,2.15,51,26639,0,0,0,0
Nikolai Khabibulin,1995,2014,799,206,333,334,97,2071,22329,20258,0.907,2.72,46,45609,0,18,18,134
Anton Khudobin,2010,2015,89,81,41,34,8,196,2457,2261,0.92,2.35,4,5007,0,0,0,4
Trevor Kidd,1992,2004,387,,140,162,52,1014,10237,9223,0.901,2.84,19,21426,0,13,13,36
Scott King,1991,1992,2,,0,0,0,3,16,13,0.813,2.95,0,61,0,0,0,0
Keith Kinkaid,2013,2015,17,11,5,5,3,32,392,360,0.918,2.47,0,778,0,0,0,0
Miikka Kiprusoff,2001,2013,623,386,319,213,71,1500,17114,15614,0.912,2.49,44,36169,0,10,10,47
Terry Kleisinger,1986,1986,4,,0,2,0,14,109,95,0.872,4.4,0,191,0,0,0,2
Julian Klymkiw,1959,1959,1,,0,0,0,2,,,,6.32,0,19,0,0,0,0
Connor Knapp,2014,2014,2,1,0,0,1,4,32,28,0.875,3.12,0,77,0,1,1,0
Rick Knickle,1993,1994,14,,7,6,0,44,363,319,0.879,3.74,0,706,0,0,0,2
Dieter Kochan,2000,2003,21,,1,11,1,56,406,350,0.862,3.96,0,849,0,0,0,0
Vitali Kolesnik,2006,2006,8,,3,3,0,20,178,158,0.888,3.24,0,370,0,1,1,2
Olaf Kolzig,1990,2009,719,60,303,297,87,1885,20118,18233,0.906,2.71,35,41671,0,17,17,107
Evgeny Konstantinov,2001,2003,2,,0,0,0,1,6,5,0.833,2.86,0,21,0,0,0,2
Mikko Koskinen,2011,2011,4,4,2,1,0,15,118,103,0.873,4.33,0,208,0,0,0,0
Brent Krahn,2009,2009,1,0,0,0,0,3,9,6,0.667,9,0,20,0,0,0,0
Darcy Kuemper,2013,2015,61,55,26,22,6,135,1496,1361,0.91,2.49,5,3258,0,0,0,0
Les Kuntar,1994,1994,6,,2,2,0,16,130,114,0.877,3.18,0,302,0,0,0,2
Gary Kurt,1972,1972,16,,1,7,5,60,,,,4.3,0,838,0,0,0,0
Jason LaBarbera,2001,2015,187,124,62,73,20,457,4933,4476,0.907,2.85,6,9615,0,2,2,10
Jean-Francois Labbe,2000,2003,15,,3,6,0,36,323,287,0.889,3.44,0,628,0,0,0,2
Patrick Labrecque,1996,1996,2,,0,1,0,7,47,40,0.851,4.29,0,98,0,0,0,2
Blaine Lacher,1995,1996,47,,22,16,4,123,1089,966,0.887,2.8,4,2636,0,1,1,8
Eddie Lack,2014,2015,76,64,30,28,9,174,2052,1878,0.915,2.44,5,4277,0,0,0,2
Dan LaCosta,2008,2009,4,2,2,0,0,4,85,81,0.953,1.42,1,169,0,0,0,0
Frenchy Lacroix,1926,1926,5,,1,4,0,16,,,,3.43,0,280,0,0,0,0
Rick LaFerriere,1982,1982,1,,0,0,0,1,,,,3,0,20,0,0,0,0
Mark LaForest,1986,1994,103,,25,54,4,354,2689,2335,0.868,4.22,2,5032,0,6,6,65
Simon Lajeunesse,2002,2002,1,,0,0,0,0,9,9,1,0,0,24,0,0,0,0
Patrick Lalime,1997,2011,444,68,200,174,48,1085,11370,10285,0.905,2.58,35,25241,0,6,6,58
Marc Lamothe,2000,2004,4,,2,1,1,13,108,95,0.88,3.24,0,241,0,0,0,0
Scott Langkow,1996,2000,20,,3,12,1,68,474,406,0.857,4.33,0,943,0,0,0,0
Michel Larocque,1974,1984,312,,160,89,45,978,164,133,0.811,3.33,17,17615,0,18,18,18
Michel Larocque,2001,2001,3,,0,2,0,9,59,50,0.847,3.55,0,152,0,0,0,0
Jan Lasak,2002,2003,6,,0,4,0,18,143,125,0.874,4.04,0,267,0,0,0,2
Gary Laskoski,1983,1984,59,,19,27,5,228,321,266,0.829,4.65,0,2942,0,1,1,6
Nathan Lawson,2011,2014,11,7,1,4,2,28,253,225,0.889,4.24,0,396,0,0,0,0
Gord Laxton,1976,1979,17,,4,9,0,74,,,,5.55,0,800,0,0,0,0
Ray LeBlanc,1992,1992,1,,1,0,0,1,22,21,0.955,1,0,60,0,0,0,0
Pascal Leclaire,2004,2011,173,108,61,76,15,453,4698,4245,0.904,2.89,10,9406,0,4,4,8
Manny Legace,1999,2010,365,117,187,99,41,809,9151,8342,0.912,2.41,24,20140,0,9,9,12
Claude Legris,1981,1982,4,,0,1,1,4,,,,2.64,0,91,0,0,0,0
Hugh Lehman*,1927,1928,48,,20,24,4,136,,,,2.68,6,3047,0,0,0,0
Robin Lehner,2011,2015,86,76,30,36,13,230,2676,2446,0.914,2.88,2,4788,0,1,1,6
Kari Lehtonen,2004,2015,508,386,248,182,55,1313,15269,13956,0.914,2.68,32,29349,0,24,24,32
Michael Leighton,2003,2013,105,50,35,41,14,285,2876,2591,0.901,2.97,4,5755,0,3,3,6
Reggie Lemelin,1979,1993,507,,236,162,63,1613,10238,9051,0.884,3.46,12,28006,0,16,16,109
Mike Lenarduzzi,1993,1994,4,,1,1,1,10,99,89,0.899,3.17,0,189,0,0,0,0
David LeNeveu,2006,2011,22,0,5,9,2,61,540,479,0.887,3.43,0,1067,0,0,0,0
Mario Lessard,1979,1984,240,,92,97,39,843,160,134,0.838,3.74,9,13529,0,6,6,30
Jean-Louis Levasseur,1980,1980,1,,0,1,0,7,,,,7,0,60,0,0,0,0
Nathan Lieuwen,2014,2014,7,5,1,4,0,18,191,173,0.906,2.98,0,363,0,0,0,0
Anders Lindback,2011,2015,105,82,37,48,7,264,2739,2475,0.904,2.84,3,5582,0,3,3,2
Pelle Lindbergh,1982,1986,157,,87,49,15,503,3094,2742,0.886,3.3,7,9150,0,5,5,10
Bert Lindsay,1918,1919,20,,6,14,0,118,,,,5.72,0,1238,0,0,0,0
Neil Little,2002,2004,2,,0,2,0,6,37,31,0.838,3.87,0,93,0,0,0,10
David Littman,1991,1993,3,,0,2,0,14,68,54,0.794,5.96,0,141,0,0,0,0
Mike Liut,1980,1992,664,,294,271,74,2221,11260,9917,0.881,3.49,25,38215,0,13,13,22
Ken Lockett,1975,1976,55,,13,15,8,131,,,,3.35,2,2348,0,0,0,8
Howard Lockhart,1920,1925,59,,16,41,0,287,,,,5.05,1,3413,0,0,0,0
Pete LoPresti,1975,1981,175,,43,102,20,668,,,,4.07,5,9858,0,3,3,6
Sam LoPresti,1941,1942,74,,30,38,6,236,,,,3.13,4,4530,0,0,0,0
Danny Lorenz,1991,1993,8,,1,5,0,25,174,149,0.856,4.2,0,357,0,0,0,0
Ron Loustel,1981,1981,1,,0,1,0,10,,,,10,0,60,0,0,0,0
Ron Low,1973,1985,382,,102,203,38,1463,1761,1515,0.86,4.28,4,20502,0,8,8,45
Larry Lozinski,1981,1981,30,,6,11,7,105,,,,4.32,0,1459,0,1,1,0
Harry Lumley*,1944,1960,803,,330,329,142,2206,,,,2.75,71,48044,0,0,0,95
Henrik Lundqvist,2006,2015,614,487,334,207,65,1369,17218,15849,0.92,2.27,55,36255,0,17,17,12
Roberto Luongo,2000,2015,860,434,399,329,105,2057,25439,23382,0.919,2.5,68,49398,0,17,17,38
Joey MacDonald,2007,2014,133,100,44,61,15,367,3748,3381,0.902,3,2,7331,0,1,1,8
Drew MacIntyre,2008,2014,6,1,0,2,0,8,91,83,0.912,2.41,0,199,0,0,0,0
Shawn MacKenzie,1983,1983,4,,0,1,0,15,,,,6.92,0,130,0,0,0,0
Darrin Madeley,1993,1995,39,,4,23,5,140,1059,919,0.868,4.36,0,1928,0,0,0,0
Clint Malarchuk,1982,1992,338,,141,130,45,1100,8995,7980,0.887,3.47,12,19030,0,14,14,134
George Maneluk,1991,1991,4,,1,1,0,15,94,79,0.84,6.43,0,140,0,0,0,2
Cesare Maniago,1961,1978,568,,190,257,97,1773,,,,3.27,30,32569,0,4,4,71
Peter Mannino,2009,2012,6,2,1,1,0,15,127,112,0.882,3.98,0,226,0,0,0,0
Norm Maracle,1998,2002,66,,14,33,8,177,1720,1543,0.897,3.1,1,3430,0,0,0,0
Jussi Markkanen,2002,2007,128,,43,47,15,297,2992,2695,0.901,2.7,7,6610,0,2,2,4
Jacob Markstrom,2011,2015,50,43,13,28,5,137,1315,1178,0.896,3.18,0,2581,0,0,0,0
Jean Marois,1944,1954,3,,1,2,0,15,,,,5,0,180,0,0,0,0
Seth Martin,1968,1968,30,,8,10,7,67,,,,2.59,1,1552,0,1,1,0
Bob Mason,1984,1991,145,,55,65,16,500,4146,3646,0.879,3.76,1,7988,0,4,4,6
Chris Mason,1999,2013,317,205,137,113,32,754,8324,7570,0.909,2.66,23,17004,1,3,4,12
Steve Mason,2009,2015,347,332,148,136,45,890,9875,8985,0.91,2.72,26,19648,0,10,10,20
Markus Mattsson,1980,1984,92,,21,46,14,343,530,451,0.851,4.11,6,5007,0,3,3,6
Darrell May,1986,1988,6,,1,5,0,31,193,162,0.839,5.11,0,364,0,1,1,2
Gilles Mayer,1950,1956,9,,2,6,1,24,,,,2.67,0,540,0,0,0,0
Marek Mazanec,2014,2015,27,23,8,11,4,68,697,629,0.902,2.76,2,1476,0,0,0,0
Ken McAuley,1944,1945,96,,17,64,15,537,,,,5.61,1,5740,0,0,0,0
Jack McCartan,1960,1961,12,,2,7,3,42,,,,3.71,1,680,0,0,0,0
Thomas McCollum,2011,2015,3,0,1,0,0,4,33,29,0.879,2.96,0,81,0,0,0,0
Frank McCool,1945,1946,72,,34,31,7,242,,,,3.36,4,4320,0,0,0,5
Peter McDuffe,1972,1976,57,,11,36,6,218,,,,4.08,0,3207,0,1,1,2
Curtis McElhinney,2008,2015,128,90,40,51,7,305,3211,2906,0.905,2.94,4,6226,0,2,2,2
Tom McGrattan,1948,1948,1,,0,0,0,1,,,,7.5,0,8,0,0,0,0
Ross McKay,1991,1991,1,,0,0,0,3,15,12,0.8,5.14,0,35,0,0,0,0
Mike McKenna,2009,2015,22,19,5,11,2,68,610,542,0.889,3.48,1,1173,0,1,1,0
Bill McKenzie,1974,1980,91,,18,49,13,326,,,,4.1,2,4776,0,1,1,12
Steve McKichan,1991,1991,1,,0,0,0,2,8,6,0.75,6,0,20,0,0,0,0
Murray McLachlan,1971,1971,2,,0,1,0,4,,,,9.6,0,25,0,0,0,0
Kirk McLean,1986,2001,612,,245,262,72,1904,16882,14978,0.887,3.26,22,35090,0,23,23,58
Dave McLelland,1973,1973,2,,1,1,0,10,,,,5,0,120,0,0,0,0
Jamie McLennan,1994,2007,254,,80,109,36,617,6036,5419,0.898,2.68,13,13834,0,3,3,54
Don McLeod,1971,1972,18,,3,10,1,74,,,,5.05,0,879,0,0,0,0
Jim McLeod,1972,1972,16,,6,6,4,44,,,,3,0,880,0,1,1,0
Gerry McNamara,1961,1970,7,,2,2,1,14,,,,2.6,0,323,0,0,0,2
