Player,First,Last,GP,GS,W,L,TOL,GA,SA,SV,SV_PCT,GAA,SO,MIN,G,A,PTS,PIM
Gordie Bell,1946,1946,8,,3,5,0,31,,,,3.87,0,480,0,0,0,0
Clint Benedict*,1918,1930,362,,190,143,28,863,,,,2.32,57,22367,0,0,0,7
Harvey Bennett,1945,1945,25,,10,12,2,103,,,,4.2,0,1470,0,0,0,0
Jean-Claude Bergeron,1991,1997,72,,21,33,7,232,1728,1496,0.866,3.69,1,3772,0,2,2,4
Adam Berkhoel,2006,2006,9,,2,4,1,30,255,225,0.882,3.81,0,473,0,0,0,0
Tim Bernhardt,1983,1987,67,,17,36,7,267,1840,1594,0.866,4.27,0,3748,0,3,3,4
Jonathan Bernier,2008,2015,171,153,75,66,19,417,4954,4537,0.916,2.63,9,9496,0,4,4,4
Reto Berra,2014,2015,46,38,12,21,4,116,1117,1001,0.896,3.05,0,2282,0,0,0,2
Daniel Berthiaume,1987,1994,215,,81,90,21,714,5849,5135,0.878,3.67,5,11662,0,4,4,34
Allan Bester,1984,1996,219,,73,99,17,786,6699,5913,0.883,4.01,7,11773,0,8,8,32
Bill Beveridge,1930,1943,297,,87,166,42,879,,,,2.87,18,18375,0,0,0,0
Paul Bibeault,1941,1947,214,,81,107,25,785,,,,3.65,10,12890,0,0,0,2
Zac Bierk,1998,2004,47,,9,20,5,113,1145,1032,0.901,3.18,1,2135,0,1,1,6
Craig Billington,1986,2003,332,,110,149,31,1034,8388,7354,0.877,3.63,9,17097,0,6,6,42
Andre Binette,1955,1955,1,,1,0,0,4,,,,4,0,60,0,0,0,0
Les Binkley,1968,1972,196,,58,94,34,575,,,,3.12,11,11046,0,1,1,2
Martin Biron,1996,2014,508,179,230,191,52,1247,13893,12646,0.91,2.61,28,28614,0,14,14,81
Ben Bishop,2009,2015,165,154,91,44,15,366,4444,4078,0.918,2.39,11,9200,0,4,4,10
Richard Bittner,1950,1950,1,,0,0,1,3,,,,3,0,60,0,0,0,0
Dan Blackburn,2002,2003,63,,20,32,4,188,1777,1589,0.894,3.22,1,3499,0,0,0,12
Mike Blake,1982,1984,40,,13,15,5,150,891,773,0.868,4.25,0,2117,0,1,1,8
John Blue,1993,1996,46,,16,18,7,126,1141,1015,0.89,3,1,2521,0,2,2,13
Sergei Bobrovsky,2011,2015,224,213,120,71,23,533,6519,5986,0.918,2.52,10,12710,0,5,5,8
Gilles Boisvert,1960,1960,3,,0,3,0,9,,,,3,0,180,0,0,0,0
Dan Bouchard,1973,1986,655,,286,232,113,2061,3137,2749,0.876,3.26,27,37919,0,29,29,253
Brian Boucher,2000,2013,328,87,120,139,45,822,8272,7450,0.901,2.71,17,18220,0,3,3,18
Claude Bourque,1939,1940,62,,16,38,8,193,,,,3.02,4,3830,0,0,0,0
Rollie Boutin,1979,1981,22,,7,10,1,75,,,,3.96,0,1137,0,1,1,6
Lionel Bouvrette,1943,1943,1,,0,1,0,6,,,,6,0,60,0,0,0,0
Johnny Bower*,1954,1970,552,,250,195,90,1340,,,,2.51,37,32016,0,3,3,36
Fred Brathwaite,1994,2004,254,,81,99,37,629,6344,5715,0.901,2.73,15,13840,0,3,3,12
Frank Brimsek*,1939,1950,514,,252,182,80,1404,,,,2.7,40,31210,0,0,0,6
Martin Brochu,1999,2004,9,,0,5,0,22,178,156,0.876,3.58,0,369,0,0,0,2
Turk Broda*,1937,1952,629,,302,224,101,1609,,,,2.53,62,38167,0,0,0,8
Ken Broderick,1970,1975,27,,11,12,1,74,,,,3.03,1,1464,0,1,1,2
Len Broderick,1958,1958,1,,1,0,0,2,,,,2,0,60,0,0,0,0
Martin Brodeur,1992,2015,1266,369,691,397,154,2781,31709,28928,0.912,2.24,125,74439,2,45,47,122
Mike Brodeur,2010,2011,7,4,3,1,0,10,129,119,0.922,2.17,1,277,0,0,0,0
Richard Brodeur,1980,1988,385,,131,175,62,1410,6245,5394,0.864,3.85,6,21968,0,8,8,26
Gary Bromley,1974,1981,136,,54,44,28,425,,,,3.43,7,7427,0,6,6,12
Art Brooks,1918,1918,4,,2,2,0,23,,,,6.27,0,220,0,0,0,0
Ross Brooks,1973,1975,54,,37,7,6,134,,,,2.64,4,3047,0,1,1,2
Frank Brophy,1920,1920,21,,3,18,0,148,,,,7.11,0,1249,0,0,0,0
Andy Brown,1972,1974,62,,22,26,9,213,,,,3.79,1,3373,0,1,1,64
Ken Brown,1971,1971,1,,0,0,0,1,,,,3.33,0,18,0,0,0,0
Mario Brunetta,1988,1990,40,,12,17,1,128,994,866,0.871,3.9,0,1967,0,0,0,16
Barry Brust,2007,2007,11,,2,4,1,30,245,215,0.878,3.7,0,486,0,0,0,0
Ilya Bryzgalov,2002,2015,465,392,221,162,54,1141,13011,11870,0.912,2.58,34,26550,0,12,12,20
Peter Budaj,2006,2014,296,183,124,107,36,752,7759,7007,0.903,2.76,11,16344,0,10,10,20
Bruce Bullock,1973,1977,16,,3,9,3,74,,,,4.79,0,927,0,0,0,2
Sean Burke,1988,2007,820,,324,341,110,2290,23299,21009,0.902,2.96,38,46442,0,28,28,310
Steve Buzinski,1943,1943,9,,2,6,1,55,,,,5.89,0,560,0,0,0,0
Don Caley,1968,1968,1,,0,0,0,3,,,,6,0,30,0,0,0,0
Jack Campbell,2014,2014,1,1,0,1,0,6,47,41,0.872,6,0,60,0,0,0,0
Frank Caprice,1983,1988,102,,31,46,11,391,2767,2379,0.86,4.2,1,5589,0,3,3,17
Jim Carey,1995,1999,172,,79,65,16,416,4066,3650,0.898,2.58,16,9668,0,1,1,8
Jacques Caron,1968,1974,72,,24,29,11,211,,,,3.29,2,3846,0,1,1,2
Sebastien Caron,2003,2012,95,2,26,48,12,296,2741,2445,0.892,3.44,4,5156,0,1,1,12
Lyle Carter,1972,1972,15,,4,7,0,50,,,,4.16,0,721,0,0,0,2
Jon Casey,1984,1997,425,,170,157,55,1246,11164,9918,0.888,3.21,16,23255,0,13,13,126
Frederic Cassivi,2002,2007,13,,3,6,1,38,353,315,0.892,3.63,0,628,0,0,0,0
Roman Cechmanek,2001,2004,212,,110,64,28,419,5161,4742,0.919,2.08,25,12085,0,1,1,24
Sebastien Centomo,2002,2002,1,,0,0,0,3,12,9,0.75,4.5,0,40,0,0,0,0
Frederic Chabot,1991,1999,32,,4,8,4,62,583,521,0.894,2.95,0,1262,0,0,0,2
Lorne Chabot,1927,1937,412,,201,147,62,859,,,,2.03,71,25411,0,0,0,10
Ed Chadwick,1956,1962,184,,57,92,35,541,,,,2.94,14,11040,0,0,0,0
Bob Champoux,1974,1974,17,,2,11,3,80,,,,5.2,0,923,0,0,0,0
Sebastien Charpentier,2002,2004,26,,6,14,1,66,672,606,0.902,2.93,0,1350,0,0,0,0
Gerry Cheevers*,1962,1980,418,,230,102,74,1174,,,,2.89,26,24394,0,11,11,214
Tim Cheveldae,1989,1997,340,,149,136,37,1116,9530,8414,0.883,3.49,10,19172,0,16,16,18
Alain Chevrier,1986,1991,234,,91,100,14,845,6197,5352,0.864,4.16,2,12202,0,11,11,35
Andy Chiodo,2004,2004,8,,3,4,1,28,260,232,0.892,3.46,0,486,0,0,0,0
Mathieu Chouinard,2004,2004,1,,0,0,0,0,2,2,1,0,0,3,0,0,0,0
Scott Clemmensen,2002,2015,191,137,73,59,24,468,4931,4463,0.905,2.79,7,10059,0,3,3,4
Chris Clifford,1985,1989,2,,0,0,0,0,8,8,1,0,0,24,0,0,0,0
